	Domain	Phylum	Class	Order	Family	Genus	Species
OTU1381419	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Passalora	Passalora
OTU1381997	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Passalora	Passalora
OTU1382448	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Passalora	Passalora
OTU990867	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Passalora	Passalora
OTU395048	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	Ramularia
OTU603485	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	Ramularia
OTU615291	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	Ramularia
OTU1123864	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	Septoria
OTU126	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	Septoria
OTU15	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	Septoria
OTU17	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	Septoria
OTU303	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	Septoria
OTU321101	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	Septoria
OTU33227	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	Septoria
OTU45718	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	Septoria
OTU514990	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	Septoria
OTU68774	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	Septoria
OTU897634	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	Septoria
OTU903058	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	Septoria
OTU18139	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unclassified_Capnodiales	unclassified_Capnodiales	unclassified_Capnodiales
OTU374020	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unclassified_Capnodiales	unclassified_Capnodiales	unclassified_Capnodiales
OTU632442	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unclassified_Capnodiales	unclassified_Capnodiales	unclassified_Capnodiales
OTU6452	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unclassified_Capnodiales	unclassified_Capnodiales	unclassified_Capnodiales
OTU1198527	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Columnosphaeria	Columnosphaeria
OTU13556	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Columnosphaeria	Columnosphaeria
OTU196	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Columnosphaeria	Columnosphaeria
OTU239186	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Columnosphaeria	Columnosphaeria
OTU244	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Columnosphaeria	Columnosphaeria
OTU827	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Columnosphaeria	Columnosphaeria
OTU1128068	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella
OTU1132039	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella
OTU239689	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella
OTU240039	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella
OTU242821	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella
OTU255436	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella
OTU27681	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella
OTU457404	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella
OTU763283	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella
OTU900769	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella
OTU10357	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU104353	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU1123828	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU1124469	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU1125138	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU1125267	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
OTU1126397	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
